Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2006","2006","%","70","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2005-2007."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2007","2007","%","70","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2006-2008."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2008","2008","%","70.1","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2007-2009."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2009","2009","%","71.3","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2008-2010."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2010","2010","%","71.4","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2009-2011."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2011","2011","%","70.2","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2010-2012."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2012","2012","%","66.5","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2011-2013."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2013","2013","%","62.6","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2012-2014."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2014","2014","%","60.8","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2013-2015."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2015","2015","%","60","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2014-2016."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2016","2016","%","59.5","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2015-2017."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2017","2017","%","58.3","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2016-2018."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2018","2018","%","55.5","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2017-2019."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2019","2019","%","53.3","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2018-2020. Estimates are based on projected values."
"SDGB","SDG Indicators","706","Somalia","6121","Value","SN_ITK_DEFC","2.1.1 Prevalence of undernourishment","2020","2020","%","51.1","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021. Estimates are based on projected values."
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-F-Y_GE15","2.1.2 Number of severely food insecure people (female) (15 years old and over)","2015","2015","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-F-Y_GE15","2.1.2 Number of severely food insecure people (female) (15 years old and over)","2016","2016","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-F-Y_GE15","2.1.2 Number of severely food insecure people (female) (15 years old and over)","2017","2017","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-F-Y_GE15","2.1.2 Number of severely food insecure people (female) (15 years old and over)","2018","2018","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-F-Y_GE15","2.1.2 Number of severely food insecure people (female) (15 years old and over)","2019","2019","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-F-Y_GE15","2.1.2 Number of severely food insecure people (female) (15 years old and over)","2020","2020","1000 No","1826.6","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-M-Y_GE15","2.1.2 Number of severely food insecure people (male) (15 years old and over)","2015","2015","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-M-Y_GE15","2.1.2 Number of severely food insecure people (male) (15 years old and over)","2016","2016","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-M-Y_GE15","2.1.2 Number of severely food insecure people (male) (15 years old and over)","2017","2017","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-M-Y_GE15","2.1.2 Number of severely food insecure people (male) (15 years old and over)","2018","2018","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-M-Y_GE15","2.1.2 Number of severely food insecure people (male) (15 years old and over)","2019","2019","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-M-Y_GE15","2.1.2 Number of severely food insecure people (male) (15 years old and over)","2020","2020","1000 No","1796.6","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-_T-_T","2.1.2 Number of severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2015","2015","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-_T-_T","2.1.2 Number of severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2016","2016","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-_T-_T","2.1.2 Number of severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2017","2017","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-_T-_T","2.1.2 Number of severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2018","2018","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-_T-_T","2.1.2 Number of severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2019","2019","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESSN-_T-_T","2.1.2 Number of severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2020","2020","1000 No","6884.6","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-_T-_T-_T","2.1.2 Prevalence of severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2015","2015","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-_T-_T-_T","2.1.2 Prevalence of severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2016","2016","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-_T-_T-_T","2.1.2 Prevalence of severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2017","2017","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-_T-_T-_T","2.1.2 Prevalence of severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-_T-_T-_T","2.1.2 Prevalence of severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-_T-_T-_T","2.1.2 Prevalence of severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2020","2020","%","41.7","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-F-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2015","2015","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-F-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2016","2016","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-F-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2017","2017","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-F-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-F-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-F-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2020","2020","%","41.7","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-M-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (male) (15 years old and over) (no breakdown by urbanisation)","2015","2015","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-M-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (male) (15 years old and over) (no breakdown by urbanisation)","2016","2016","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-M-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (male) (15 years old and over) (no breakdown by urbanisation)","2017","2017","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-M-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (male) (15 years old and over) (no breakdown by urbanisation)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-M-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (male) (15 years old and over) (no breakdown by urbanisation)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESS-M-Y_GE15-_T","2.1.2 Prevalence of severe food insecurity (male) (15 years old and over) (no breakdown by urbanisation)","2020","2020","%","41.7","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-F-Y_GE15","2.1.2 Number of moderately or severely food insecure people (female) (15 years old and over)","2015","2015","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-F-Y_GE15","2.1.2 Number of moderately or severely food insecure people (female) (15 years old and over)","2016","2016","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-F-Y_GE15","2.1.2 Number of moderately or severely food insecure people (female) (15 years old and over)","2017","2017","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-F-Y_GE15","2.1.2 Number of moderately or severely food insecure people (female) (15 years old and over)","2018","2018","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-F-Y_GE15","2.1.2 Number of moderately or severely food insecure people (female) (15 years old and over)","2019","2019","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-F-Y_GE15","2.1.2 Number of moderately or severely food insecure people (female) (15 years old and over)","2020","2020","1000 No","3396.1","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-M-Y_GE15","2.1.2 Number of moderately or severely food insecure people (male) (15 years old and over)","2015","2015","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-M-Y_GE15","2.1.2 Number of moderately or severely food insecure people (male) (15 years old and over)","2016","2016","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-M-Y_GE15","2.1.2 Number of moderately or severely food insecure people (male) (15 years old and over)","2017","2017","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-M-Y_GE15","2.1.2 Number of moderately or severely food insecure people (male) (15 years old and over)","2018","2018","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-M-Y_GE15","2.1.2 Number of moderately or severely food insecure people (male) (15 years old and over)","2019","2019","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-M-Y_GE15","2.1.2 Number of moderately or severely food insecure people (male) (15 years old and over)","2020","2020","1000 No","3340.4","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-_T-_T","2.1.2 Number of moderately or severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2015","2015","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-_T-_T","2.1.2 Number of moderately or severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2016","2016","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-_T-_T","2.1.2 Number of moderately or severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2017","2017","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-_T-_T","2.1.2 Number of moderately or severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2018","2018","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-_T-_T","2.1.2 Number of moderately or severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2019","2019","1000 No","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6199","Value","AG_PRD_FIESMSN-_T-_T","2.1.2 Number of moderately or severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age)","2020","2020","1000 No","12800.8","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-_T-_T-_T","2.1.2 Prevalence of moderate or severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2015","2015","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-_T-_T-_T","2.1.2 Prevalence of moderate or severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2016","2016","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-_T-_T-_T","2.1.2 Prevalence of moderate or severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2017","2017","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-_T-_T-_T","2.1.2 Prevalence of moderate or severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-_T-_T-_T","2.1.2 Prevalence of moderate or severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-_T-_T-_T","2.1.2 Prevalence of moderate or severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation)","2020","2020","%","77.4","E","Estimated value","Global monitoring data | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021."
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-F-Y_GE15-_T","2.1.2 Prevalence of moderate or severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2015","2015","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-F-Y_GE15-_T","2.1.2 Prevalence of moderate or severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2016","2016","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-F-Y_GE15-_T","2.1.2 Prevalence of moderate or severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2017","2017","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-F-Y_GE15-_T","2.1.2 Prevalence of moderate or severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","706","Somalia","6121","Value","AG_PRD_FIESMS-F-Y_GE15-_T","2.1.2 Prevalence of moderate or severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
