VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2010,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2011,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2012,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2013,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2014,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2015,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2016,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2017,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2018,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2019,24.527740592,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Somalia,2020,24.527740592,%,E,false
